donation_id,business_id,agency_id,hotspot_block_id,meals_allocated,agency_to_supplier_miles,supplier_to_hotspot_miles,route_total_miles,route_duration_minutes,transport_cost,distance_method
live_donation_r100,live_r100,agency_jacobs_cushman_san_diego_food_bank,01ST_AV_I-5_SB,1.54,5.579664757814364,13.248379463930645,18.82804422174501,30.499999999999996,23.332230275192874,osrm_openstreetmap_driving
live_donation_r100,live_r100,agency_jacobs_cushman_san_diego_food_bank,02ND_AV_I-5_SB,14.15,5.579664757814364,13.399869760598106,18.97953451841247,31.198333333333334,23.653953178437924,osrm_openstreetmap_driving
live_donation_r100,live_r100,agency_jacobs_cushman_san_diego_food_bank,03RD_AV_I-5_SB,10.13,5.579664757814364,13.411178716296826,18.99084347411119,31.101666666666667,23.63395076254673,osrm_openstreetmap_driving
live_donation_r100,live_r100,agency_jacobs_cushman_san_diego_food_bank,04TH_AV_CEDAR_ST,2.59,5.579664757814364,13.506124234470692,19.085788992285057,31.235,23.745553800803307,osrm_openstreetmap_driving
live_donation_r100,live_r100,agency_jacobs_cushman_san_diego_food_bank,03RD_AV_CEDAR_ST,1.38,5.579664757814364,13.52259057106498,19.102255328879345,31.369999999999997,23.798005716614966,osrm_openstreetmap_driving
live_donation_r100,live_r100,agency_jacobs_cushman_san_diego_food_bank,FRONT_ST_W_ASH_ST,3.5433333333333374,5.579664757814364,13.541977352262785,19.12164211007715,31.62666666666667,23.88867022588086,osrm_openstreetmap_driving
live_donation_r101,live_r101,agency_feeding_san_diego,FRONT_ST_W_ASH_ST,0.1266666666666625,5.678649188737771,13.541977352262785,19.220626541000556,32.92166666666667,24.34700256004931,osrm_openstreetmap_driving
live_donation_r101,live_r101,agency_feeding_san_diego,FRONT_ST_W_A_ST,5.98,5.678649188737771,13.546140539250777,19.224789727988547,32.80833333333334,24.316638804382407,osrm_openstreetmap_driving
live_donation_r101,live_r101,agency_feeding_san_diego,02ND_AV_CEDAR_ST,1.06,5.678649188737771,13.553472719319176,19.232121908056946,32.77166666666667,24.31136403901217,osrm_openstreetmap_driving
live_donation_r101,live_r101,agency_feeding_san_diego,UNION_ST_W_ASH_ST,11.67,5.678649188737771,13.576774139028077,19.255423327765847,33.141666666666666,24.438531451324266,osrm_openstreetmap_driving
live_donation_r101,live_r101,agency_feeding_san_diego,04TH_AV_BEECH_ST,4.29,5.678649188737771,13.596720154298893,19.275369343036665,33.18833333333333,24.467495978485644,osrm_openstreetmap_driving
live_donation_r101,live_r101,agency_feeding_san_diego,01ST_AV_W_B_ST,1.23,5.678649188737771,13.61809532331186,19.29674451204963,33.055,24.444296662491055,osrm_openstreetmap_driving
live_donation_r101,live_r101,agency_feeding_san_diego,FRONT_ST_W_B_ST,7.38,5.678649188737771,13.619524477054004,19.298173665791776,33.14833333333333,24.472993930446194,osrm_openstreetmap_driving
live_donation_r101,live_r101,agency_feeding_san_diego,01ST_AV_W_BEECH_ST,1.1,5.678649188737771,13.624122623876561,19.30277181261433,33.06666666666667,24.452328799809116,osrm_openstreetmap_driving
live_donation_r101,live_r101,agency_feeding_san_diego,UNION_ST_W_A_ST,0.49666666666667014,5.678649188737771,13.648107551896922,19.326756740634693,33.28666666666666,24.53564067843792,osrm_openstreetmap_driving
live_donation_s00,live_s00,agency_catholic_charities_diocese_of_san_diego,05TH_AV_ASH_ST,3.29,5.751287481110315,2.1214855245367055,7.87277300564702,14.736666666666666,10.342904706513957,osrm_openstreetmap_driving
live_donation_s00,live_s00,agency_catholic_charities_diocese_of_san_diego,04TH_AV_A_ST,3.31,5.751287481110315,2.1839954664757815,7.935282947586096,14.815,10.413585873498766,osrm_openstreetmap_driving
live_donation_s00,live_s00,agency_catholic_charities_diocese_of_san_diego,03RD_AV_ASH_ST,4.61,5.751287481110315,2.2280506840054084,7.979338165115723,15.575,10.671901172154616,osrm_openstreetmap_driving
live_donation_s00,live_s00,agency_catholic_charities_diocese_of_san_diego,11TH_AV_A_ST,3.15,5.751287481110315,2.3023666785969934,8.053654159707309,13.963333333333335,10.251596605821998,osrm_openstreetmap_driving
live_donation_s00,live_s00,agency_catholic_charities_diocese_of_san_diego,10TH_AV_B_ST,9.23,5.751287481110315,2.3571094806331025,8.108396961743416,13.858333333333334,10.26213863536944,osrm_openstreetmap_driving
live_donation_s00,live_s00,agency_catholic_charities_diocese_of_san_diego,11TH_AV_B_ST,5.27,5.751287481110315,2.3751292452079853,8.1264167263183,14.133333333333333,10.35718782311302,osrm_openstreetmap_driving
live_donation_s00,live_s00,agency_catholic_charities_diocese_of_san_diego,07TH_AV_ASH_ST,1.42,5.751287481110315,2.426019545852223,8.177307026962538,14.553333333333333,10.520114451602641,osrm_openstreetmap_driving
live_donation_s00,live_s00,agency_catholic_charities_diocese_of_san_diego,PARK_BL_A_ST,4.67,5.751287481110315,2.4373285015509425,8.188615982661258,14.386666666666667,10.47940370237811,osrm_openstreetmap_driving
