scenario_id,donation_id,supplier_id,supplier_name,facility_type,address,lat,lon,surplus_type,food_type,condition,available_food_lbs,available_meals,reported_at,ready_at,expires_at,status,is_synthetic
planning_demo_v1,synthetic_001,biz_scripps_mercy_hospital_san_diego,Scripps Mercy Hospital San Diego,health,"4077 Fifth Avenue, San Diego, CA 92103",32.748,-117.16,packaged/produce,packaged/produce,ambient,129,107.5,2026-08-20T17:25:00-07:00,2026-08-20T17:45:00-07:00,2026-08-21T05:45:00-07:00,active,True
planning_demo_v1,synthetic_002,biz_northgate_gonzalez_market,Northgate Gonzalez Market,grocery,"1950 Main Street, San Diego, CA 92113",32.6935,-117.1445,packaged/produce,packaged/produce,ambient,332,276.6666666666667,2026-08-20T17:45:00-07:00,2026-08-20T18:05:00-07:00,2026-08-21T06:05:00-07:00,active,True
planning_demo_v1,synthetic_003,biz_springhill_suites_san_diego_downtown_bayfront,SpringHill Suites San Diego Downtown/Bayfront,hotel,"900 Bayfront Court, San Diego, CA 92101",32.7125,-117.1728,prepared,prepared,refrigerated,50,41.66666666666667,2026-08-20T18:07:00-07:00,2026-08-20T18:27:00-07:00,2026-08-20T22:27:00-07:00,active,True
planning_demo_v1,synthetic_004,biz_manchester_grand_hyatt_san_diego,Manchester Grand Hyatt San Diego,hotel,"1 Market Place, San Diego, CA 92101",32.7065,-117.171,prepared,prepared,refrigerated,288,240.0,2026-08-20T18:10:00-07:00,2026-08-20T18:30:00-07:00,2026-08-20T22:30:00-07:00,active,True
planning_demo_v1,synthetic_005,biz_albertsons_14th_market,Albertsons - 14th & Market,grocery,"655 14th Street, San Diego, CA 92101",32.7105,-117.15,packaged/produce,packaged/produce,ambient,266,221.66666666666669,2026-08-20T18:13:00-07:00,2026-08-20T18:33:00-07:00,2026-08-21T06:33:00-07:00,active,True
planning_demo_v1,synthetic_008,biz_smart_final,Smart & Final,grocery,"720 15th Street, San Diego, CA 92101",32.7115,-117.149,packaged/produce,packaged/produce,ambient,258,215.0,2026-08-20T18:56:00-07:00,2026-08-20T19:16:00-07:00,2026-08-21T07:16:00-07:00,active,True
planning_demo_v1,synthetic_007,biz_embassy_suites_by_hilton_san_diego_bay_downtown,Embassy Suites by Hilton San Diego Bay Downtown,hotel,"601 Pacific Highway, San Diego, CA 92101",32.7112,-117.1705,prepared,prepared,refrigerated,64,53.333333333333336,2026-08-20T19:01:00-07:00,2026-08-20T19:21:00-07:00,2026-08-20T23:21:00-07:00,active,True
planning_demo_v1,synthetic_010,biz_ralphs_hillcrest,Ralphs - Hillcrest,grocery,"1020 University Avenue, San Diego, CA 92103",32.7488,-117.1547,packaged/produce,packaged/produce,ambient,269,224.16666666666669,2026-08-20T19:04:00-07:00,2026-08-20T19:24:00-07:00,2026-08-21T07:24:00-07:00,active,True
planning_demo_v1,synthetic_006,biz_courtyard_by_marriott_san_diego_downtown,Courtyard by Marriott San Diego Downtown,hotel,"530 Broadway, San Diego, CA 92101",32.7153,-117.1592,prepared,prepared,refrigerated,49,40.833333333333336,2026-08-20T19:05:00-07:00,2026-08-20T19:25:00-07:00,2026-08-20T23:25:00-07:00,active,True
planning_demo_v1,synthetic_009,biz_uc_san_diego_health_hillcrest_medical_center,UC San Diego Health - Hillcrest Medical Center,health,"200 West Arbor Drive, San Diego, CA 92103",32.755,-117.1665,packaged/produce,packaged/produce,ambient,86,71.66666666666667,2026-08-20T19:09:00-07:00,2026-08-20T19:29:00-07:00,2026-08-21T07:29:00-07:00,active,True
planning_demo_v1,synthetic_012,biz_sheraton_san_diego_resort_sheraton_san_diego_hotel_marina,Sheraton San Diego Resort (Sheraton San Diego Hotel & Marina),hotel,"1380 Harbor Island Drive, San Diego, CA 92101",32.7265,-117.202,prepared,prepared,refrigerated,134,111.66666666666667,2026-08-20T19:37:00-07:00,2026-08-20T19:57:00-07:00,2026-08-20T23:57:00-07:00,active,True
planning_demo_v1,synthetic_013,biz_hard_rock_hotel_san_diego,Hard Rock Hotel San Diego,hotel,"207 5th Avenue, San Diego, CA 92101",32.7075,-117.1597,prepared,prepared,refrigerated,61,50.833333333333336,2026-08-20T19:49:00-07:00,2026-08-20T20:09:00-07:00,2026-08-21T00:09:00-07:00,active,True
planning_demo_v1,synthetic_011,biz_the_westin_san_diego_bayview,The Westin San Diego Bayview,hotel,"1051 Columbia Street, San Diego, CA 92101",32.7168,-117.1678,prepared,prepared,refrigerated,58,48.333333333333336,2026-08-20T20:45:00-07:00,2026-08-20T21:05:00-07:00,2026-08-21T01:05:00-07:00,active,True
planning_demo_v1,synthetic_014,biz_the_us_grant_a_luxury_collection_hotel,"The US Grant, a Luxury Collection Hotel",hotel,"326 Broadway, San Diego, CA 92101",32.7155,-117.1612,prepared,prepared,refrigerated,49,40.833333333333336,2026-08-20T22:24:00-07:00,2026-08-20T22:44:00-07:00,2026-08-21T02:44:00-07:00,active,True
